id_mahasiswa,jawaban
0,karena di tempat tnggalnya tidak aman karena banyak kasusnya
1,"banyak yang menolak, susah mencari lapangan pekerjaan dan juga susah mendapatkan rumah yang layak di huni karena bisa terjadi penolakan dari negara lain terhadap pengungsian"
2,ah berkomunikasi dengan wilyah yang mereka tempati.
3,"tantangan yang akan mereka hadapi, seperti mereka harus mencari pekerjaan yang baru untuk mencukupi kehidupan mereka."
4,Mereka akan tidak terbiasa dengan tempat baru
5,kehilangan pekerjaan dan sumber daya yang ada di tempat lama
6,dengan sikap yang tenang
7,Mencari tempat pengungsian
8,cuaca/atau suasana di perjalanan
9,"Pengungsi iklim lingkungan baru yang berbeda dengan sebelumnya,mungkin akan terasa sulit untuk beradaptasi."
10,Beradaptasi dengan lingkungan
11,mereka akan kehilangan ladan mereka karena harus berpindah tempat tinggal.
12,mereka meninggalkan sebuah kenangan yang sangat indah disana bersama keluarga .
13,"mereka akan meninggalkan tetengga meraka yg lama,dan mereka dpan tempat tinggal yang baru"
14,mereka akan meninggalkan komunitas atau negaranya
15,sulit beradaptasi di tempat yang baru
16,mereka harus beradaptasi dengan iklim dan tembat untuk mencari nafkah.
17,bencana lingkungan.
18,pengusi harus mendapat kesensarahan karena becana yg terjadi dinegaranya dan maka pengusi harus menigalkan negaranya seblum terjadi di negaranya.
19,akan kehilangan mata pencarian
20,"meskipun warga travina bisa pindah ke daratan yg lebuh tinggi ketika air laut naik ,mereka akan kehilangan sebagian besar lahan pertanian mereka"
21,beradaptasi dengan tetanga baru
22,orang-orang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.
23,Mencari pekerjaan di tempat yang baru karena pekerjaan sebelumnya sudah ditinggalkan di Travina.
24,Mendukung
25,tantangan_tentang_tidak_kenyamanan.
26,"mereka akan sulit menemukan tempat tinggal, kebutuhan ekonomi,dan pekerjaan yang tidak menentu"
27,HARUS BERADAPTASI DENGAN WARGA YANG ADA DISEKITARNYA
28,mereka akan tetap menjaga agar tidak terjadi masalah lain lagi
29,mereka akan kehilangan sebagian besar dari lahan mereka
30,"mereka susah bertahan hidup, tempat tinggal, dan mencari pekerjaan yang layak"
31,cara beradaptasi dengan lingkungan sekitar.
32,"mereka akan sulit beradaptasi di tempat mereka yang baru, karena kondisi ditempat yang baru itu mungkin saja berbeda dengan kondisi di tempat mereka yang lama. serta mereka akan kehilangan mata pencaharian mereka. mereka juga akan kehilangan tempat tinggal mereka."
33,mereka akan sulit beradaptasi dengan lingkungan baru di suatu negara lain yg belum pernah di rasakan oleh mereka
34,mereka akan mendapatkan musibah atas terjadinya perubahan iklim tersebut dan rumah mereka akan hancur
35,"tantanganya yaitu mereka harus tinggal berpindah-pindah karena perubahan iklim. seperti di travina, para warga di kepulauan tersebut terpaksa pindah tempat agar tidak terkena kenaikan permukaan air laut, tetapi juga permukaan air laut itu juga akan naik tiap tahunya dan mereka harus siap hidup berpindah-pindah tiap tahun agar tidak terkena bencana alam tersebut."
36,mereka akan kehilangan lahan mereka di tempat asal mereka.
37,klimâ€. Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan. Apa satu tantangan yang akan dihadapi para pengungsi iklim ini ketika mereka pindah ke tempat baru? mungkin belum terbiasa pada aklim yang baru.
38,karena pengungsi pindah tempat karna travina
39,Tidak di terima di tempat yang baru.
40,mereka harus beradaptasi dengan lingkungan yang baru dan kebutuhan hidup seperti tempat tinggal dan mata pencaharian atau pekerjaan mereka
41,kekurangan makanan yang mengakibatkan mereka kelaparan
42,Perbedaan mata pencaharian dan lingkungan sekitarnya akan berbeda
43,tantangannya adalah warga harus beradaptasi dengan suasan iklim di sana
44,"kepadatan penduduk tidak merata, lahan peratanian menurun."
45,2019 ganti presiden
46,ya
47,"Tantangannya adalah mereka harus beradaptasi dengan lingkungan yang baru. Apalagi jika lingkungan yang baru tersebut benar-benar berbeda dengan lingkungan mereka sebelumnya. Hal ini dapat menimbulkan bencana seperti kelaparan, suhu yang tidak sesuai, rumah dan tempat tingal yang kurang nyaman, dan muncul penyakit yang baru."
48,mereka akan kehilangan sebagian besar lahan pertanian mereka
49,iklim nya berbeda dengan sebelumnya yang mengakibatkan rasa tidak nyaman
